playerName,freeThrowsMade,points,plusMinusPoints,fieldGoalsMade,PER,turnovers,USG%,gamesPlayed,reboundsDefensive,minutes,assists,Actual_AllStar,Predicted_AllStar,Prediction_Confidence
Mo Williams,10,172,-55,71,11.425890107326175,60,13.06074094805172,79,107,857.2,166,0,0,0.33
Danny Green,1,3,-13,1,0.9256380510440816,5,12.315551464519704,5,6,43.1,3,0,0,0.0
Cory Jefferson,114,636,478,261,16.159513502779987,84,12.676489100858834,82,314,2014.4,62,0,0,2.76
Edmond Sumner,1,9,3,4,23.10461538461539,2,19.6261927616171,4,4,19.5,1,0,0,0.0
Norris Cole,150,791,180,318,21.50509776304888,82,29.144391672424035,82,216,1207.0,72,0,0,14.41
Tyson Chandler,50,200,-129,75,12.382959442332067,37,12.06255479786641,67,148,789.0,26,0,0,0.0
Taurean Prince,35,227,-51,74,11.108226018396843,20,14.37237094444312,76,65,684.9,40,0,0,0.0
Anthony Tolliver,8,32,-6,10,15.51238759689922,4,22.87828813859366,6,8,64.5,8,0,0,0.0
P.J. Washington,23,266,-100,99,14.299901521933748,27,18.77881763334199,52,110,670.2,34,0,0,0.0
Chris Copeland,24,152,-45,64,12.53866999168745,30,15.49738191922402,32,84,481.2,12,0,0,0.0
Henry Ellenson,120,610,-260,245,11.11403895337399,95,15.939099885211366,78,279,2033.2,96,0,0,0.0
Troy Williams,40,318,-252,137,22.662890769230764,35,18.08372527428791,23,120,650.0,35,0,0,1.0
Timothe Luwawu-Cabarrot,57,427,-110,150,14.885023627179404,56,15.295451342758671,73,85,1227.4,217,0,0,0.0
Jonas Valanciunas,5,105,92,35,7.793546399691956,16,9.830374363252355,72,61,519.4,28,0,0,0.0
Cristiano Felicio,31,432,64,162,14.685835062240663,55,17.612100049055808,45,217,1156.8,91,0,0,0.0
Cristiano Felicio,0,41,-11,18,13.105476575121166,10,18.39886109742551,33,20,123.8,27,0,0,0.0
De'Andre Hunter,423,1528,-29,505,28.84830054991539,207,37.71490064656611,57,468,1891.2,266,1,1,60.9
Kelly Olynyk,34,193,-51,76,6.55375840381696,30,12.491312117553491,66,78,922.2,44,0,0,0.0
Bradley Beal,388,2251,105,857,31.423284529199865,347,31.72928729870281,82,612,3025.7,747,1,1,87.75
Mitchell Robinson,59,375,53,128,10.625394144144146,42,13.976121300686408,65,89,1243.2,61,0,0,0.0
Jae Crowder,56,481,-46,183,18.385542594178084,50,21.22878289944464,66,166,934.4,67,0,0,0.0
Lou Williams,64,304,98,120,22.62593969504881,62,25.879899654170263,23,142,583.7,63,0,0,2.53
Zavier Simpson,0,0,8,0,4.080000000000001,0,0.0,7,2,3.0,0,0,0,0.0
Coby White,57,311,26,126,20.65922996552084,44,13.414836175641351,82,177,957.1,79,0,0,0.0
Kent Bazemore,125,754,-477,273,12.645589779488972,122,22.19677232560609,61,345,1714.2,99,0,0,0.33
John Wall,11,53,39,20,10.752584726615453,13,11.872074019175912,38,26,221.3,15,0,0,0.0
Mo Williams,189,1028,141,415,21.816550402884992,161,28.06328136339301,60,181,1774.7,252,1,0,14.85
Immanuel Quickley,52,390,134,169,13.112051929318426,72,15.004581769568915,81,273,1386.5,84,0,0,0.0
Vasilije Micic,87,570,-139,218,14.60408893801548,55,22.254742999640992,78,145,1176.1,78,0,0,0.0
Spencer Dinwiddie,109,964,107,377,20.812144555127915,131,22.855532706996826,53,178,1766.8,265,0,0,0.1
Aaron Gordon,0,0,0,0,14.257979607256786,0,18.572275528227934,3,0,0.0,0,0,0,0.0
LaMelo Ball,23,287,-13,101,13.45751163774862,32,12.975272998615594,73,88,945.2,84,0,0,0.0
Gary Trent Jr.,11,72,-25,26,17.004151419558355,5,19.460026405474803,9,13,158.5,14,0,0,0.0
Craig Brackins,105,819,111,280,12.9425330992265,106,17.88562541587084,82,128,2107.3,229,0,0,1.0
Isaiah Hicks,311,1248,-395,426,16.0739539950709,212,23.21996683325144,78,329,2799.7,400,0,0,3.3
Wesley Johnson,0,0,-19,0,-1.709977973568282,2,5.621625490260824,8,4,45.4,2,0,0,0.0
Jusuf Nurkic,104,834,-14,265,18.63752116234996,59,19.09696178212045,55,210,1583.0,92,0,0,0.0
Maurice Harkless,14,170,70,60,12.18805872412336,15,17.101865544185948,35,70,473.4,29,0,0,0.0
Justin Holiday,4,14,0,4,4.0862152133580745,2,18.50715491083366,2,2,53.9,5,0,0,0.0
Onyeka Okongwu,61,269,-205,104,11.785541503989135,60,11.465229997206963,82,294,1178.2,26,0,0,1.0
Jevon Carter,162,969,345,403,22.60301729573912,93,16.581983075994536,71,445,2220.2,113,0,0,7.82
Danilo Gallinari,85,494,-81,172,14.786165545783758,68,24.05986989571557,82,52,966.5,92,0,0,0.0
Yuta Watanabe,38,299,63,130,20.059170206740298,41,19.994531784236337,78,209,706.2,49,0,0,0.0
Hedo Turkoglu,110,508,-121,195,16.1356153924463,66,25.45825575679596,82,189,982.3,32,0,0,1.58
Darryl Watkins,8,112,-23,40,16.715486976217445,8,11.002101669823846,22,38,353.2,50,0,0,0.0
Corey Brewer,85,451,41,181,21.4354704595186,51,18.42622773381021,57,209,1005.4,86,0,0,0.0
Kris Dunn,20,167,-147,67,7.499541674367032,42,19.883553549404056,66,39,541.1,62,0,0,0.0
Dillon Brooks,32,403,53,146,8.89697344415163,54,12.628356100126853,72,95,1479.9,90,0,0,0.0
Tyler Dorsey,9,115,31,43,11.288816712412318,11,16.000915642097667,80,62,327.9,18,0,0,0.0
Kirk Hinrich,45,372,6,157,16.757104819683185,54,14.081696801240277,50,210,1186.8,53,0,0,0.0
Carmelo Anthony,31,135,-56,52,10.954221445730504,32,15.89490747031938,54,63,457.9,15,0,0,0.0
Kyle Anderson,237,952,274,357,17.68931657104286,121,19.212296442351445,66,459,2370.4,204,1,0,15.12
Alperen Sengun,29,483,-9,220,15.950029925865474,91,15.063019281868105,82,146,1470.3,258,0,0,0.0
Gary Harris,38,470,-156,216,14.842544032689869,61,15.406113569253112,82,285,1419.4,47,0,0,0.0
DaQuan Jeffries,95,427,-49,158,14.991554443690632,43,15.770448520881764,70,158,1179.2,61,0,0,0.0
Gordon Hayward,46,250,3,102,21.057335513659105,43,22.54789636429585,21,149,519.8,30,0,0,0.07
Renaldo Balkman,22,357,14,147,16.097215017611273,79,13.677215944228491,73,139,1249.2,254,0,0,0.0
Zach LaVine,0,0,5,0,0.0,0,0.0,11,0,2.6,0,0,0,0.0
Deni Avdija,8,51,-7,21,7.083400377121307,18,23.33273417059384,31,15,159.1,25,0,0,0.0
Udoka Azubuike,187,713,-36,235,14.833728438043993,117,29.650551488297417,53,67,1263.8,137,0,0,2.32
Luc Mbah a Moute,151,798,-103,298,18.486429656037497,98,22.994421901770536,59,199,1514.7,64,0,0,0.0
Brandon Jennings,10,96,-13,35,18.60298328108672,9,21.49661826388368,8,14,191.4,30,0,0,0.0
Frank Kaminsky,49,709,-263,284,13.087365806607185,126,16.235471978663913,80,164,2073.5,341,0,0,0.67
Jrue Holiday,80,449,27,184,21.98382287691897,66,14.987255110125504,64,209,1126.9,57,0,0,0.0
Gerald Wallace,9,31,-4,9,15.701966942148765,3,22.196604870515245,17,6,60.5,6,0,0,0.0
C.J. Watson,69,522,-52,195,15.932969257045269,98,23.822875046834515,52,89,1171.0,274,0,0,0.0
Jonathon Simmons,50,573,171,203,14.212956031723945,40,17.087513194117914,60,166,1437.4,86,0,0,0.0
Tyler Lydon,90,535,-91,215,13.192712513118089,78,16.926059812144313,82,192,1619.9,70,0,0,0.0
Sebastian Telfair,216,1407,552,506,20.31500334252528,174,25.25343877136891,80,411,2393.4,331,1,0,36.56
Jason Thompson,197,1134,274,456,19.86201652478718,151,26.5915063652744,71,138,1997.0,388,1,0,8.85
JaKarr Sampson,78,528,-41,216,19.49077581594436,66,25.44844524578783,61,153,934.5,53,0,0,1.13
Kendrick Nunn,120,1018,202,417,15.729007914673886,185,22.07306037437144,76,223,2362.7,419,0,0,1.79
Chris Chiozza,11,69,0,29,30.94838812301166,9,26.430632619164395,27,29,94.3,3,0,0,0.0
Courtney Fortson,197,873,-119,335,21.17391555343512,103,15.99183593964015,81,481,2096.0,110,0,0,0.96
Tremont Waters,71,353,-153,141,12.765435220817295,56,16.453433838971442,56,171,1091.4,21,0,0,0.0
Cameron Payne,16,82,16,28,19.52424778761061,7,15.321602764016982,42,32,192.1,14,0,0,0.0
Torrey Craig,19,187,-4,72,8.145949483352469,24,10.630877217234984,62,122,871.0,36,0,0,0.0
Ryan Hollins,2,14,-25,6,6.061737089201877,2,11.17364041126328,28,8,85.2,2,0,0,0.0
Jason Maxiell,72,638,60,233,12.75623301711398,80,12.790599287661156,82,232,2097.7,171,0,0,0.0
Jusuf Nurkic,36,331,267,119,14.005969686531174,59,13.32622931637199,44,244,1161.2,147,0,0,1.51
Simone Fontecchio,53,307,-87,127,10.85584422027452,59,13.68388646923244,82,200,1209.4,30,0,0,0.0
Juancho Hernangomez,9,68,-99,29,11.338260703363911,12,15.802520874593586,33,38,261.6,20,0,0,0.0
Brendan Haywood,97,375,-93,139,13.278451141705846,57,16.428085316278914,75,239,1191.2,32,0,0,0.0
Arinze Onuaku,5,11,-18,3,4.0562751677852384,4,10.48774353902174,18,11,89.4,6,0,0,0.0
Jan Vesely,97,927,-55,346,18.43104188591875,51,20.56941869736337,77,416,1900.4,120,0,0,1.0
James Posey,31,213,-45,91,24.64914780600462,28,20.08626846787628,25,115,433.0,30,0,0,0.5
Jermaine Samuels Jr.,84,354,-135,97,12.096790944123317,10,11.558892819399388,69,71,1038.0,26,0,0,2.57
Montrezl Harrell,98,840,-9,313,17.750091619649048,106,17.45098999905727,66,316,1931.9,147,0,0,0.0
Jonah Bolden,12,127,5,44,7.634392100880317,20,15.912663622541714,54,26,420.3,33,0,0,0.0
Bradley Beal,2,2,-11,0,13.57,0,15.249906581655976,6,1,5.1,0,0,0,0.0
Spencer Hawes,20,347,-11,135,12.62700373731981,26,18.62077968878946,48,108,936.5,51,0,0,0.21
Lance Stephenson,2,16,33,7,23.11102362204724,4,18.0909880482874,21,11,38.1,1,0,0,0.0
Caris LeVert,134,869,-66,307,14.473718209803454,114,18.62661956705392,71,215,2111.5,268,0,0,0.32
