season_year,teamTricode,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,gamesPlayed
2011,ATL,240.6,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30.0,39.3,22.0,6.1,4.2,12.8,19.0,95.0,-4.1,82
2011,BOS,241.2,36.9,75.8,48.6,5.0,13.6,36.5,17.8,23.1,77.0,7.8,31.0,38.8,23.4,8.2,4.2,13.6,20.5,96.5,26.8,82
2011,CHA,241.5,35.0,77.6,45.1,4.8,14.7,32.7,18.4,24.4,75.6,10.3,29.8,40.1,21.1,6.4,5.3,13.7,20.0,93.3,-20.0,82
2011,CHI,241.8,37.1,80.3,46.2,6.2,17.3,36.1,18.2,24.5,74.3,11.8,32.4,44.2,22.3,7.2,5.7,13.5,20.0,98.6,36.6,82
2011,CLE,240.9,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21.0,6.6,4.2,13.7,20.1,95.5,-45.1,82
2011,DAL,240.3,37.4,78.8,47.5,7.9,21.6,36.5,17.5,22.6,77.7,9.5,31.9,41.4,23.8,6.8,4.3,13.5,19.2,100.2,21.2,82
2011,DEN,240.3,38.4,80.6,47.6,8.1,20.8,38.8,22.7,29.6,76.5,9.6,32.3,42.0,22.1,7.4,4.3,13.8,21.0,107.5,23.8,82
2011,DET,242.4,37.3,81.1,46.0,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,7.3,4.0,12.2,19.9,97.0,-18.0,82
2011,GSW,241.8,39.6,85.9,46.1,8.4,21.3,39.2,15.7,20.7,76.1,11.6,28.9,40.5,22.5,9.0,5.0,14.1,22.0,103.4,-11.6,82
2011,HOU,242.4,38.7,85.1,45.4,8.3,22.5,36.7,20.3,25.4,80.1,11.7,31.1,42.8,23.8,7.1,4.5,12.8,20.0,105.9,10.9,82
2011,IND,241.2,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,7.1,5.6,14.8,21.7,99.8,-5.4,82
2011,LAC,242.1,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,7.1,4.9,15.5,21.1,98.6,-15.7,82
2011,LAL,241.8,38.1,82.4,46.3,6.4,18.1,35.2,18.8,24.1,77.9,12.1,31.9,44.0,22.0,7.3,5.1,12.6,19.0,101.5,30.5,82
2011,MEM,242.4,39.0,82.9,47.1,3.8,11.3,33.4,18.1,24.2,75.0,11.8,29.2,41.0,20.6,9.4,5.4,13.4,20.8,99.9,11.7,82
2011,MIA,241.2,37.0,76.8,48.1,6.7,18.0,37.0,21.5,27.9,76.9,9.6,32.5,42.1,20.0,6.6,5.2,13.2,20.4,102.1,37.3,82
2011,MIL,241.8,34.3,79.8,43.0,5.9,17.2,34.2,17.4,22.9,75.7,10.5,30.2,40.8,18.8,7.5,4.9,12.5,20.5,91.9,-4.2,82
2011,MIN,241.2,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,7.2,5.1,16.5,22.3,101.1,-33.2,82
2011,NJN,244.0,35.6,81.0,44.0,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21.0,5.6,4.7,13.0,22.0,94.2,-31.2,82
2011,NOH,241.8,35.9,78.2,45.9,5.4,15.0,36.0,17.7,23.1,76.5,10.0,30.1,40.1,20.6,7.6,4.4,12.2,21.0,94.9,4.5,82
2011,NYK,241.2,38.3,83.7,45.7,9.3,25.4,36.8,20.6,25.5,80.9,10.3,30.1,40.5,21.4,7.6,5.8,13.3,21.3,106.5,3.9,82
2011,OKC,244.0,37.4,80.6,46.4,5.9,17.1,34.7,24.1,29.3,82.3,11.0,31.8,42.8,20.4,8.0,5.9,13.5,22.4,104.8,19.0,82
2011,ORL,241.8,36.0,78.2,46.1,9.4,25.6,36.6,17.7,25.6,69.2,10.5,32.7,43.2,20.0,6.7,4.7,14.4,20.0,99.2,27.3,82
2011,PHI,243.1,38.1,82.6,46.1,5.4,15.2,35.5,17.4,22.6,77.0,10.4,31.4,41.8,22.7,7.6,4.3,12.2,19.4,99.0,7.5,82
2011,PHX,244.0,39.3,83.5,47.0,8.5,22.6,37.7,18.0,23.6,75.9,10.0,30.2,40.2,23.7,6.6,4.4,13.6,20.3,105.0,-4.5,82
2011,POR,241.5,36.0,80.5,44.7,6.3,18.3,34.5,18.0,22.4,80.4,12.1,27.2,39.3,21.2,8.0,4.4,12.4,19.3,96.3,7.6,82
2011,SAC,242.1,38.2,85.1,44.9,5.2,15.6,33.5,17.7,24.2,73.4,13.1,30.8,43.9,20.4,7.4,4.8,15.6,22.0,99.4,-26.7,82
2011,SAS,241.2,38.4,80.8,47.5,8.4,21.1,39.7,18.5,24.2,76.7,10.1,31.7,41.9,22.4,7.3,4.5,12.9,19.0,103.7,28.5,82
2011,TOR,241.2,38.3,82.4,46.5,4.2,13.3,31.6,18.2,24.1,75.5,11.7,28.6,40.3,21.9,7.1,4.3,14.0,22.0,99.1,-31.4,82
2011,UTA,242.4,37.4,80.4,46.5,5.3,15.3,34.6,19.4,25.1,77.1,11.0,28.5,39.5,23.4,7.7,5.9,13.6,22.7,99.4,-9.1,82
2011,WAS,243.1,37.2,84.0,44.3,4.8,14.4,33.2,18.2,24.4,74.5,12.4,29.0,41.3,19.4,8.1,6.1,14.7,22.6,97.3,-37.0,82
2012,ATL,244.9,36.8,81.0,45.4,7.5,20.2,37.0,15.5,21.0,74.0,9.9,31.3,41.2,22.4,8.1,4.6,13.3,17.8,96.6,17.2,66
2012,BOS,241.5,35.5,77.1,46.0,5.5,15.0,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,7.5,5.5,14.1,19.9,91.8,12.6,66
2012,CHA,240.8,33.2,80.2,41.4,4.0,13.5,29.5,16.5,22.2,74.6,10.3,28.7,39.0,20.1,6.0,5.5,13.6,18.9,87.0,-69.5,66
2012,CHI,241.5,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,6.9,5.9,13.4,17.3,96.3,40.9,66
2012,CLE,241.9,34.3,81.2,42.2,6.7,19.3,34.6,17.8,24.9,71.6,12.7,29.5,42.3,19.8,7.1,4.0,14.6,20.0,93.0,-36.0,66
2012,DAL,243.4,36.3,82.0,44.3,7.5,22.2,33.9,15.6,20.2,77.1,10.1,32.7,42.8,20.9,8.6,5.1,13.5,18.6,95.8,4.8,66
2012,DEN,243.0,39.0,81.9,47.6,6.6,19.9,33.2,19.6,26.7,73.5,11.2,31.9,43.1,24.0,8.2,5.0,15.0,19.7,104.1,14.4,66
2012,DET,241.9,34.7,79.3,43.8,4.8,13.9,34.6,16.6,22.1,75.2,11.7,28.5,40.3,18.7,7.0,4.2,14.6,19.6,90.9,-23.9,66
2012,GSW,241.1,37.7,82.5,45.7,7.9,20.5,38.8,14.4,18.7,77.0,9.7,29.5,39.2,22.3,8.0,5.5,13.4,21.4,97.8,-17.0,66
2012,HOU,243.4,37.7,84.0,44.9,7.2,20.2,35.9,15.4,19.7,78.2,11.7,30.5,42.2,21.3,7.5,4.8,13.8,20.4,98.1,1.1,66
2012,IND,242.3,35.7,81.4,43.8,5.9,16.1,36.8,20.4,26.1,78.2,12.5,31.4,43.9,18.6,7.9,5.4,13.2,21.7,97.7,16.5,66
2012,LAC,241.9,37.0,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68.0,12.1,29.4,41.6,21.0,8.4,4.8,12.4,21.2,97.5,12.8,66
2012,LAL,243.4,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,5.9,5.3,14.5,16.8,97.3,7.1,66
2012,MEM,241.5,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42.0,19.5,9.6,5.2,13.9,19.9,95.0,10.1,66
2012,MIA,243.0,37.1,79.0,46.9,5.6,15.6,35.9,18.8,24.2,77.5,10.4,31.2,41.6,20.0,8.9,5.4,14.7,19.4,98.5,29.9,66
2012,MIL,240.4,37.9,85.6,44.3,6.6,19.2,34.5,16.6,21.4,77.4,12.4,30.0,42.5,23.5,8.3,5.1,13.7,19.3,99.0,1.4,66
2012,MIN,241.5,35.7,82.3,43.3,7.2,21.6,33.2,19.4,25.2,77.1,12.1,31.7,43.7,19.5,6.6,4.4,14.7,18.4,97.9,-11.0,66
2012,NJN,240.8,34.3,80.6,42.5,7.7,22.4,34.2,16.9,21.7,77.7,11.9,28.5,40.3,19.9,7.5,3.9,14.3,19.2,93.1,-29.9,66
2012,NOH,241.5,34.8,77.3,45.1,3.9,11.8,33.3,16.0,21.2,75.7,11.0,30.2,41.1,20.7,7.4,4.8,14.6,20.1,89.6,-18.8,66
