season_year,teamTricode,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,gamesPlayed
2011,ATL,19730.2,2971,6429,46.2,502,1427,35.2,1346,1728,77.9,762,2460,3222,1802,497,341,1048,1554,7790,-335,82
2011,BOS,19780.2,3023,6219,48.6,408,1119,36.5,1459,1895,77.0,639,2542,3181,1921,676,344,1115,1678,7913,2200,82
2011,CHA,19805.2,2873,6365,45.1,393,1203,32.7,1511,1999,75.6,848,2444,3292,1728,524,433,1123,1637,7650,-1640,82
2011,CHI,19830.3,3042,6587,46.2,511,1415,36.1,1492,2008,74.3,967,2654,3621,1827,592,468,1104,1639,8087,3000,82
2011,CLE,19755.3,2886,6647,43.4,509,1489,34.2,1546,2075,74.5,856,2449,3305,1720,544,341,1125,1648,7827,-3695,82
2011,DAL,19705.3,3069,6463,47.5,645,1768,36.5,1437,1850,77.7,780,2618,3398,1954,557,352,1107,1575,8220,1735,82
2011,DEN,19705.4,3145,6613,47.6,662,1704,38.8,1859,2429,76.5,791,2652,3443,1813,605,352,1130,1719,8811,1950,82
2011,DET,19880.2,3056,6647,46.0,472,1256,37.6,1367,1854,73.7,931,2236,3167,1730,595,328,1001,1629,7951,-1475,82
2011,GSW,19830.3,3251,7047,46.1,685,1749,39.2,1290,1695,76.1,955,2370,3325,1847,737,406,1157,1806,8477,-955,82
2011,HOU,19880.2,3170,6975,45.4,677,1843,36.7,1668,2083,80.1,962,2549,3511,1955,581,371,1048,1641,8685,895,82
2011,IND,19780.2,3003,6787,44.2,585,1653,35.4,1592,2035,78.2,914,2657,3571,1611,584,456,1210,1782,8183,-440,82
2011,LAC,19855.2,3015,6594,45.7,513,1519,33.8,1546,2187,70.7,955,2501,3456,1813,585,402,1273,1733,8089,-1285,82
